time,t_amb,q_sol,rh,v_wind,q_hp_sec,q_hp_prim,t_sup_hp_sec,t_ret_hp_sec,v_hp_sec,t_sup_hp_prim,t_ret_hp_prim,v_hp_prim,q_r1,q_r2,q_r3,q_r4_1,q_r4_2,q_r5_1,q_r5_2,q_b,q_k,q_c,t_sup_r1,t_ret_r1,v_r1,t_sup_r2,t_ret_r2,v_r2,t_sup_r3,t_ret_r3,v_r3,t_sup_r4_1,t_ret_r4_1,v_r4_1,t_sup_r4_2,t_ret_r4_2,v_r4_2,t_sup_r5_1,t_ret_r5_1,v_r5_1,t_sup_r5_2,t_ret_r5_2,v_r5_2,t_sup_b,t_ret_b,v_b,t_sup_k,t_ret_k,v_k,t_sup_c,t_ret_c,v_c,t_r1,t_r1_set,t_r2,t_r2_set,t_r3,t_r3_set,t_r4,t_r4_set,t_r5,t_r5_set,t_b,t_b_set,t_k,t_k_set,t_c,t_c_set,t_u1_1,t_u1_5,t_u1_10,t_u1_18,t_u1_27,t_u1_37,t_u2_1,t_u2_5,t_u2_10,t_u2_18,t_u2_27,t_u2_37,t_u3_1,t_u3_5,t_u3_10,t_u3_27,t_u3_37,t_wl1_1,t_wl1_5,t_wl1_10,t_wl2_1,t_wl2_5,t_wl2_10,t_wl3_1,t_wl3_5,t_wl3_10,t_s_1,t_s_10,t_s_18,t_wl4_1,t_wl4_5,t_wl4_10,t_wl4_18,p_g,p_pv,p_hp,p_k
13.12.23 00:00,9.70,13.60,93.4,3.1,409,1690,0.613,47.2,42.9,0.344,9.14,2.02,11.2,334,457,0,0,0,0,0,0,0,625,45,34.4,0.0273,45.1,31.2,0.0283,22.9,22.6,0,23,22.6,0,23.3,22.8,0,23.1,22.5,0,23.2,22.5,0,21.1,20.7,0,22.1,20.6,0,44.7,30.7,0.0387,21.4,21,23,21,21.1,21,21.3,21,21.7,21,24.2,24,21.6,18,22.2,18,8.97,9.05,9.56,9.67,12.3,12.9,9.61,10,9.85,10.1,12.4,13,9.95,10.3,10.6,6.93,12.6,12.4,9.39,10.3,9.43,10.2,10.1,64.2,4.1,,,,,,,,,,,
13.12.23 00:05,9.68,14.10,93.5,3.04,407,1714,0.613,46.9,42.5,0.346,9.18,1.99,11.2,342,569,0,0,0,0,0,0,0,642,45.2,34.4,0.0273,45.4,30.8,0.0338,22.9,22.6,0,23,22.6,0,23.2,22.7,0,23,22.5,0,23.2,22.5,0,21.1,20.7,0,22.1,20.6,0,45.1,30.7,0.0388,21.4,21,22.9,21,21.1,21,21.3,21,21.7,21,24.2,24,21.6,18,22.2,18,9.04,9.07,9.56,9.66,12.3,12.9,9.65,10,9.85,10.1,12.4,13,9.96,10.3,10.6,6.93,12.6,12.4,9.37,10.3,9.43,10.2,10.1,64,4.1,,,,,,,,,,,
