Time,T_amb [°C],Q_sol [W/m²],RH [%],v_wind [m/s],P_hp [W],"Q_hp,sec [W]","Q_hp,prim [W]","T_sup,hp,sec [°C]","T_ret,hp,sec [°C]","V_hp,sec [m³/h]","T_sup,hp,prim [°C]","T_ret,hp,prim [°C]","V_hp,prim [m³/h]",Q_R1 [W],Q_R2 [W],Q_R3 [W],"Q_R4,1 [W]","Q_R4,2 [W]","Q_R5,1 [W]","Q_R5,2 [W]",Q_B [W],Q_K [W],Q_C [W],"T_sup,R1 [°C]","T_ret,R1 [°C]",V_R1 [m³/h],"T_sup,R2 [°C]","T_ret,R2 [°C]",V_R2 [m³/h],"T_sup,R3 [°C]","T_ret,R3 [°C]",V_R3 [m³/h],"T_sup,R4,1 [°C]","T_ret,R4,1 [°C]","V_R4,1 [m³/h]","T_sup,R4,2 [°C]","T_ret,R4,2 [°C]","V_R4,2 [m³/h]","T_sup,R5,1 [°C]","T_ret,R5,1 [°C]","V_R5,1 [m³/h]","T_sup,R5,2 [°C]","T_ret,R5,2 [°C]","V_R5,2 [m³/h]","T_sup,B [°C]","T_ret,B [°C]",V_B [m³/h],"T_sup,K [°C]","T_ret,K [°C]",V_K [m³/h],"T_sup,C [°C]","T_ret,C [°C]",V_C [m³/h],T_R1 [°C],"T_R1,set [°C]",T_R2 [°C],"T_R2,set [°C]",T_R3 [°C],"T_R3,set [°C]",T_R4 [°C],"T_R4,set [°C]",T_R5 [°C],"T_R5,set [°C]",T_B [°C],"T_B,set [°C]",T_K [°C],"T_K,set [°C]",T_C [°C],"T_C,set [°C]","T_ret1,1 [°C]","T_ret1,10 [°C]","T_ret1,5 [°C]","T_sup1,1 [°C]","T_sup1,10 [°C]","T_sup1,5 [°C]","T_ret2,1 [°C]","T_ret2,10 [°C]","T_ret2,5 [°C]","T_sup2,1 [°C]","T_sup2,10 [°C]","T_sup2,5 [°C]","T_ret3,1 [°C]","T_ret3,10 [°C]","T_ret3,5 [°C]","T_sup3,1 [°C]","T_sup3,10 [°C]","T_sup3,5 [°C]","T_ret4,1 [°C]","T_ret4,10 [°C]","T_sup4,1 [°C]","T_sup4,10 [°C]","T_sup4,5 [°C]",P_appliance [W],P_kitchen [W]
13.12.23 00:00,9.70,13.60,93.4,3.1,409,1690,0.613,47.2,42.9,0.344,9.14,2.02,11.2,334,457,0,0,0,0,0,0,0,625,45,34.4,0.0273,45.1,31.2,0.0283,22.9,22.6,0,23,22.6,0,23.3,22.8,0,23.1,22.5,0,23.2,22.5,0,21.1,20.7,0,22.1,20.6,0,44.7,30.7,0.0387,21.4,21,23,21,21.1,21,21.3,21,21.7,21,24.2,24,21.6,18,22.2,18,8.97,9.05,9.56,9.67,12.3,12.9,9.61,10,9.85,10.1,12.4,13,9.95,10.3,10.6,6.93,12.6,12.4,9.39,10.3,9.43,10.2,10.1,64.2,4.1
13.12.23 00:05,9.68,14.10,93.5,3.04,407,1714,0.613,46.9,42.5,0.346,9.18,1.99,11.2,342,569,0,0,0,0,0,0,0,642,45.2,34.4,0.0273,45.4,30.8,0.0338,22.9,22.6,0,23,22.6,0,23.2,22.7,0,23,22.5,0,23.2,22.5,0,21.1,20.7,0,22.1,20.6,0,45.1,30.7,0.0388,21.4,21,22.9,21,21.1,21,21.3,21,21.7,21,24.2,24,21.6,18,22.2,18,9.04,9.07,9.56,9.66,12.3,12.9,9.65,10,9.85,10.1,12.4,13,9.96,10.3,10.6,6.93,12.6,12.4,9.37,10.3,9.43,10.2,10.1,64,4.1
